"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 30 20:20:05 UTC 2022","Wed Mar 30 20:20:09 UTC 2022","4432","","user.tests.UserPageTests","","user.tests.UserPageTests","clickOnQualityDishesRadioButton","Выбрать пункт Качество блюд",""
"passed","Wed Mar 30 20:22:01 UTC 2022","Wed Mar 30 20:22:08 UTC 2022","7477","","user.tests.UserPageTests","","user.tests.UserPageTests","clickOnFourthStarTest","Клик по 4-й звезде",""
"passed","Wed Mar 30 20:20:26 UTC 2022","Wed Mar 30 20:20:30 UTC 2022","4122","","user.tests.UserPageTests","","user.tests.UserPageTests","clickOnThirdStarTest","Клик по 3-й звезде",""
"passed","Wed Mar 30 20:21:19 UTC 2022","Wed Mar 30 20:21:24 UTC 2022","5530","","user.tests.UserPageTests","","user.tests.UserPageTests","checkSumButton_2","Текст 2-й кнопки суммы",""
"passed","Wed Mar 30 20:20:22 UTC 2022","Wed Mar 30 20:20:26 UTC 2022","4032","","user.tests.UserPageTests","","user.tests.UserPageTests","userCommissionCheckboxTest","Проверка чекбокса издержки",""
"passed","Wed Mar 30 20:19:39 UTC 2022","Wed Mar 30 20:19:50 UTC 2022","10612","","user.tests.UserPageTests","","user.tests.UserPageTests","deleteSumTest","Удаление суммы",""
"passed","Wed Mar 30 20:22:08 UTC 2022","Wed Mar 30 20:22:13 UTC 2022","5279","","user.tests.UserPageTests","","user.tests.UserPageTests","clickOnFifthStarTest","Клик по 5-й звезде",""
"passed","Wed Mar 30 20:22:24 UTC 2022","Wed Mar 30 20:22:29 UTC 2022","4958","","user.tests.UserPageTests","","user.tests.UserPageTests","clickOnVibeRadioButton","Выбрать пункт Атмосфера",""
"passed","Wed Mar 30 20:21:50 UTC 2022","Wed Mar 30 20:22:01 UTC 2022","10150","","user.tests.UserPageTests","","user.tests.UserPageTests","clickOnFirstStarTest","Клик по 1-й звезде",""
"passed","Wed Mar 30 20:20:00 UTC 2022","Wed Mar 30 20:20:05 UTC 2022","4596","","user.tests.UserPageTests","","user.tests.UserPageTests","checkAddFeedbackBtn","Клик по кнопке рассказать подробнее (4 звезды)",""
"passed","Wed Mar 30 20:20:45 UTC 2022","Wed Mar 30 20:20:49 UTC 2022","4543","","user.tests.UserPageTests","","user.tests.UserPageTests","checkAddFeedbackBtnOnFiveStars","Клик по кнопке рассказать подробнее (5 звезд)",""
"passed","Wed Mar 30 20:20:35 UTC 2022","Wed Mar 30 20:20:40 UTC 2022","4837","","user.tests.UserPageTests","","user.tests.UserPageTests","checkTextAreaWithTwoStars","Оставить комментарий (2 звезды)",""
"passed","Wed Mar 30 20:20:30 UTC 2022","Wed Mar 30 20:20:35 UTC 2022","4280","","user.tests.UserPageTests","","user.tests.UserPageTests","clickOnPurenessRadioButton","Выбрать пункт Чистота",""
"passed","Wed Mar 30 20:21:24 UTC 2022","Wed Mar 30 20:21:31 UTC 2022","6260","","user.tests.UserPageTests","","user.tests.UserPageTests","checkSumButton_3","Текст 3-й кнопки суммы",""
"passed","Wed Mar 30 20:20:09 UTC 2022","Wed Mar 30 20:20:14 UTC 2022","5167","","user.tests.UserPageTests","","user.tests.UserPageTests","personalDataAgreementLinkTest","Клик по ссылке Политика обработки персональных данных",""
"passed","Wed Mar 30 20:19:50 UTC 2022","Wed Mar 30 20:19:55 UTC 2022","4563","","user.tests.UserPageTests","","user.tests.UserPageTests","clickOnServiceRadioButton","Выбрать пункт Обслуживание",""
"passed","Wed Mar 30 20:20:40 UTC 2022","Wed Mar 30 20:20:45 UTC 2022","4931","","user.tests.UserPageTests","","user.tests.UserPageTests","checkTextAreaWithOneStars","Оставить комментарий (1 звездa)",""
"passed","Wed Mar 30 20:21:31 UTC 2022","Wed Mar 30 20:21:42 UTC 2022","11416","","user.tests.UserPageTests","","user.tests.UserPageTests","checkSumButton_4","Текст 4-й кнопки суммы",""
"passed","Wed Mar 30 20:20:49 UTC 2022","Wed Mar 30 20:20:54 UTC 2022","4947","","user.tests.UserPageTests","","user.tests.UserPageTests","checkTextAreaWithFiveStars","Оставить комментарий (5 звезд)",""
"passed","Wed Mar 30 20:22:14 UTC 2022","Wed Mar 30 20:22:24 UTC 2022","10361","","user.tests.UserPageTests","","user.tests.UserPageTests","checkTextAreaWithFourStars","Оставить комментарий (4 звезды)",""
"passed","Wed Mar 30 20:21:07 UTC 2022","Wed Mar 30 20:21:19 UTC 2022","11903","","user.tests.UserPageTests","","user.tests.UserPageTests","checkSumButton_1","Текст 1-й кнопки суммы",""
"passed","Wed Mar 30 20:20:59 UTC 2022","Wed Mar 30 20:21:07 UTC 2022","7350","","user.tests.UserPageTests","","user.tests.UserPageTests","checkTextAreaWithThreeStars","Оставить комментарий (3 звезды)",""
"passed","Wed Mar 30 20:19:55 UTC 2022","Wed Mar 30 20:20:00 UTC 2022","5222","","user.tests.UserPageTests","","user.tests.UserPageTests","checkUserNameTest","Проверка имени юзера",""
"passed","Wed Mar 30 20:20:14 UTC 2022","Wed Mar 30 20:20:22 UTC 2022","7929","","user.tests.UserPageTests","","user.tests.UserPageTests","clickOnPayByCardBtn","Клик по кнопке Оплатить картой",""
"passed","Wed Mar 30 20:22:29 UTC 2022","Wed Mar 30 20:22:38 UTC 2022","8758","","user.tests.UserPageTests","","user.tests.UserPageTests","userAgreementLinkTest","Клик по ссылке пользовательского соглашения",""
"passed","Wed Mar 30 20:21:42 UTC 2022","Wed Mar 30 20:21:50 UTC 2022","7943","","user.tests.UserPageTests","","user.tests.UserPageTests","personalDataAgreementCheckboxTest","Проверка чекбокса соглашений",""
"passed","Wed Mar 30 20:20:54 UTC 2022","Wed Mar 30 20:20:59 UTC 2022","5210","","user.tests.UserPageTests","","user.tests.UserPageTests","clickOnSecondStarTest","Клик по 2-й звезде",""
